age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augmentation_salaire_precedente_pct,heures_supplementaires,a_quitte_l_entreprise,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,a_suivi_formation,annee_experience_avant_entreprise,mobilite_interne,evolution_note,utilisation_pee
21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,3,4,4,3,3,14,0,0,15,2,Infra & Cloud,Occasionnel,0,0,1,0,0,0,0
34,M,2960,Célibataire,Consulting,Assistant de Direction,2,4,2,2,1,3,3,3,11,0,1,6,1,Transformation Digitale,Occasionnel,1,3,1,4,1,0,0
53,F,19094,Divorcé(e),Consulting,Senior Manager,4,14,13,3,3,4,2,3,11,0,0,5,3,Autre,Occasionnel,4,8,1,12,1,0,1
32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,2,2,1,2,3,4,22,1,1,16,1,Infra & Cloud,Frequent,6,7,1,0,1,3,0
42,M,6825,Marié(e),Commercial,Cadre Commercial,0,9,7,3,2,4,3,3,11,0,0,8,4,Marketing,Occasionnel,4,2,1,1,1,0,1
44,F,10248,Marié(e),Consulting,Manager,3,22,6,1,4,4,3,3,14,0,0,7,4,Transformation Digitale,Occasionnel,5,17,1,2,1,1,1
46,F,18947,Célibataire,Commercial,Senior Manager,3,2,2,2,1,4,2,3,12,0,0,2,4,Marketing,Occasionnel,2,1,1,20,0,0,0
33,M,2496,Célibataire,Consulting,Consultant,4,1,1,3,4,4,3,3,11,0,0,2,3,Transformation Digitale,Occasionnel,0,0,1,6,0,0,0
44,M,6465,Marié(e),Consulting,Manager,2,4,2,4,4,4,4,3,13,1,0,10,4,Autre,Occasionnel,1,3,1,5,1,0,0
30,M,2206,Célibataire,Consulting,Consultant,1,10,0,4,3,1,3,3,13,0,0,9,2,Transformation Digitale,Occasionnel,1,8,1,0,1,1,0
39,M,2086,Marié(e),Commercial,Représentant Commercial,3,1,0,4,4,3,4,3,14,0,1,5,3,Entrepreunariat,Occasionnel,0,0,1,18,1,0,1
24,M,2293,Marié(e),Consulting,Assistant de Direction,2,2,0,2,4,1,2,3,16,1,1,1,3,Transformation Digitale,Occasionnel,2,0,1,4,1,0,1
43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,5,3,4,3,4,2,3,12,0,0,2,2,Transformation Digitale,Occasionnel,1,4,1,1,1,-1,1
50,M,2683,Marié(e),Commercial,Représentant Commercial,1,3,2,1,3,3,3,3,14,1,1,3,2,Marketing,Occasionnel,0,2,1,0,1,1,0
35,F,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,4,4,1,3,3,13,0,0,2,3,Marketing,Occasionnel,2,2,1,0,0,0,0
36,F,3419,Marié(e),Consulting,Assistant de Direction,9,1,1,2,1,4,4,3,14,1,0,5,4,Infra & Cloud,Occasionnel,0,0,1,5,0,1,1
33,F,5376,Marié(e),Commercial,Cadre Commercial,2,5,3,3,1,1,3,3,19,0,0,1,3,Infra & Cloud,Frequent,1,3,1,5,1,-1,1
35,M,1951,Divorcé(e),Consulting,Consultant,1,1,0,3,4,3,3,3,12,0,0,4,2,Autre,Occasionnel,0,0,1,0,1,0,1
27,F,2341,Divorcé(e),Consulting,Consultant,1,1,0,4,1,4,3,3,13,0,0,2,4,Infra & Cloud,Occasionnel,0,0,1,0,1,0,1
26,M,2293,Célibataire,Consulting,Consultant,1,1,0,1,3,3,2,3,12,0,1,25,3,Infra & Cloud,Occasionnel,0,1,1,0,1,2,0
27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,8,4,3,4,3,3,15,0,0,8,3,Infra & Cloud,Frequent,1,7,0,0,1,0,0
30,F,4011,Célibataire,Consulting,Consultant,1,12,8,3,4,4,3,4,23,0,0,1,2,Transformation Digitale,Frequent,3,7,1,0,1,1,0
41,F,19545,Marié(e),Consulting,Directeur Technique,1,22,15,2,3,4,3,3,12,0,1,12,3,Entrepreunariat,Occasionnel,15,8,0,1,1,0,0
34,M,4568,Célibataire,Commercial,Cadre Commercial,0,9,5,2,3,3,3,4,20,0,0,23,4,Marketing,Aucun,8,7,1,1,1,1,0
37,M,3022,Marié(e),Consulting,Assistant de Direction,4,1,0,2,2,1,3,4,21,0,0,19,2,Infra & Cloud,Occasionnel,0,0,1,7,1,1,0
46,M,5772,Célibataire,Commercial,Cadre Commercial,4,9,6,1,4,3,3,4,21,1,0,5,4,Marketing,Frequent,0,8,1,5,1,1,0
35,M,2269,Marié(e),Consulting,Consultant,1,1,0,4,4,4,3,3,19,0,0,8,1,Infra & Cloud,Occasionnel,0,1,1,0,1,-1,0
48,M,5381,Célibataire,Consulting,Consultant,9,1,0,1,3,4,3,3,13,1,1,1,2,Infra & Cloud,Occasionnel,0,0,1,22,1,1,0
28,M,3441,Célibataire,Consulting,Consultant,1,2,2,3,3,3,2,3,13,1,1,5,4,Entrepreunariat,Occasionnel,2,2,1,0,0,0,0
44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,4,3,2,1,3,2,4,21,1,0,1,5,Marketing,Occasionnel,1,3,1,5,1,1,1
35,M,9884,Marié(e),Consulting,Manager,2,4,0,3,1,3,3,3,13,1,0,11,2,Transformation Digitale,Aucun,2,3,1,6,1,1,1
26,F,4157,Marié(e),Commercial,Cadre Commercial,7,2,2,3,4,3,2,3,19,1,0,23,3,Marketing,Occasionnel,0,0,1,3,0,1,1
33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,14,1,4,3,3,3,12,1,0,1,2,Infra & Cloud,Frequent,8,12,1,0,1,0,0
35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,8,2,1,4,2,4,22,0,0,18,5,Infra & Cloud,Frequent,1,8,1,0,1,1,1
35,F,4014,Marié(e),Consulting,Consultant,3,2,2,3,1,3,3,3,15,1,0,23,4,Transformation Digitale,Occasionnel,2,2,1,2,0,0,1
31,M,5915,Divorcé(e),Consulting,Consultant,3,7,7,4,4,4,2,4,22,0,0,7,4,Infra & Cloud,Occasionnel,1,7,1,3,0,1,1
37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,5,1,3,3,4,3,18,0,0,1,4,Infra & Cloud,Occasionnel,0,7,1,0,1,1,1
32,M,6162,Marié(e),Consulting,Tech Lead,1,9,8,1,4,2,3,4,22,1,0,1,3,Transformation Digitale,Occasionnel,7,8,1,0,1,1,1
38,F,2406,Célibataire,Consulting,Consultant,1,10,3,4,4,4,3,3,11,0,0,29,5,Infra & Cloud,Frequent,9,9,1,0,1,0,0
50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,27,3,2,3,4,2,3,12,1,0,7,2,Transformation Digitale,Occasionnel,13,8,1,2,1,1,1
59,F,7637,Célibataire,Commercial,Cadre Commercial,7,21,16,1,1,4,2,3,11,0,0,25,3,Infra & Cloud,Occasionnel,7,9,1,7,1,0,0
36,F,10096,Divorcé(e),Consulting,Manager,1,17,14,3,3,2,3,3,13,0,0,8,3,Entrepreunariat,Occasionnel,12,8,1,0,1,0,1
55,F,14756,Divorcé(e),Consulting,Senior Manager,2,5,0,4,3,3,3,3,14,1,0,8,3,Transformation Digitale,Occasionnel,0,2,1,16,1,0,1
36,M,6499,Célibataire,Consulting,Tech Lead,1,6,5,2,2,3,3,3,13,0,0,11,3,Infra & Cloud,Frequent,0,3,1,0,1,1,0
45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,1,0,2,1,3,3,3,17,0,0,7,3,Infra & Cloud,Occasionnel,0,0,1,24,1,0,1
35,M,2194,Marié(e),Consulting,Assistant de Direction,4,3,2,2,1,4,2,3,13,0,0,1,3,Transformation Digitale,Frequent,1,2,1,2,1,0,1
36,M,3388,Marié(e),Consulting,Assistant de Direction,0,1,0,4,3,1,2,3,17,1,1,9,3,Transformation Digitale,Occasionnel,0,0,0,1,1,1,1
59,F,5473,Célibataire,Commercial,Cadre Commercial,7,4,3,1,3,4,2,3,11,0,0,1,1,Infra & Cloud,Frequent,1,3,1,16,1,1,0
29,M,2703,Marié(e),Consulting,Assistant de Direction,0,5,4,3,2,4,3,4,23,0,0,2,3,Infra & Cloud,Occasionnel,0,4,1,1,1,1,1
31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,3,2,2,3,3,17,0,0,1,4,Transformation Digitale,Occasionnel,1,0,1,0,0,0,0
32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,4,2,2,2,3,3,17,0,0,1,3,Infra & Cloud,Occasionnel,0,9,1,0,1,0,1
36,F,3038,Marié(e),Consulting,Consultant,3,1,0,2,4,2,3,3,12,0,0,6,3,Infra & Cloud,Occasionnel,0,0,1,4,1,-1,0
31,F,4424,Célibataire,Consulting,Tech Lead,1,11,7,3,4,4,3,4,23,0,0,8,4,Infra & Cloud,Occasionnel,1,8,1,0,1,1,0
35,M,4312,Célibataire,Commercial,Cadre Commercial,0,15,13,3,1,2,3,3,14,0,0,1,4,Marketing,Occasionnel,2,8,1,1,1,1,0
45,M,13245,Marié(e),Consulting,Directeur Technique,4,0,0,4,1,2,4,3,14,1,0,6,4,Autre,Occasionnel,0,0,1,17,0,0,0
37,M,13664,Célibataire,Consulting,Directeur Technique,4,5,2,1,3,1,4,3,13,0,0,7,4,Transformation Digitale,Occasionnel,0,2,1,11,1,0,0
46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,4,2,2,2,4,3,4,22,1,0,5,2,Transformation Digitale,Occasionnel,0,2,1,12,1,1,1
30,M,5126,Marié(e),Consulting,Consultant,1,10,8,4,4,3,2,3,12,1,0,1,1,Infra & Cloud,Occasionnel,3,0,1,0,1,1,1
35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,4,2,3,1,3,3,18,0,0,1,3,Transformation Digitale,Occasionnel,0,4,1,0,1,1,0
55,M,10239,Marié(e),Commercial,Cadre Commercial,3,1,0,1,4,4,3,3,14,0,0,1,2,Infra & Cloud,Occasionnel,1,0,1,23,1,0,1
38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,13,11,2,4,4,3,3,12,1,0,6,3,Transformation Digitale,Aucun,1,9,1,4,1,2,1
34,M,4325,Marié(e),Consulting,Tech Lead,1,5,2,1,2,3,3,3,15,0,0,1,2,Transformation Digitale,Occasionnel,1,3,1,0,1,0,0
56,M,7260,Célibataire,Consulting,Tech Lead,4,6,4,4,4,1,2,3,11,0,0,7,3,Infra & Cloud,Occasionnel,0,2,1,31,1,2,0
23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,0,0,3,1,3,3,3,13,0,0,2,1,Entrepreunariat,Occasionnel,0,0,1,3,0,0,1
51,M,2075,Marié(e),Consulting,Consultant,3,4,2,4,4,2,3,4,23,0,0,9,4,Infra & Cloud,Occasionnel,0,3,1,6,1,1,1
30,M,4152,Marié(e),Consulting,Manager,1,11,10,3,4,1,3,3,19,0,0,2,3,Infra & Cloud,Occasionnel,10,8,1,0,1,1,1
46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,8,3,4,4,3,3,16,0,1,9,2,Transformation Digitale,Occasionnel,4,7,1,0,1,1,0
40,M,13503,Marié(e),Consulting,Manager,1,22,3,3,2,4,2,4,22,0,0,1,4,Infra & Cloud,Frequent,11,11,1,0,1,2,1
51,M,5441,Célibataire,Commercial,Cadre Commercial,0,10,7,3,4,4,1,4,22,1,0,21,4,Marketing,Occasionnel,1,0,1,1,1,1,0
30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,8,3,2,2,2,3,12,1,0,4,2,Transformation Digitale,Occasionnel,2,7,1,0,1,1,1
46,M,10673,Marié(e),Consulting,Manager,2,10,9,3,1,3,2,3,13,1,0,1,3,Transformation Digitale,Frequent,9,5,1,11,1,1,1
32,M,5010,Célibataire,Commercial,Cadre Commercial,1,11,8,2,3,1,3,3,16,0,0,6,4,Transformation Digitale,Occasionnel,5,7,0,1,1,0,0
54,F,13549,Marié(e),Consulting,Directeur Technique,9,4,3,1,3,1,1,3,12,0,0,2,4,Entrepreunariat,Occasionnel,0,3,1,12,1,0,1
24,F,4999,Marié(e),Commercial,Cadre Commercial,0,3,2,1,3,1,2,4,21,0,0,3,2,Autre,Occasionnel,0,2,1,1,1,1,1
28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,4,2,3,2,4,3,15,0,0,4,3,Transformation Digitale,Aucun,0,4,1,0,1,0,0
58,M,13872,Célibataire,Commercial,Cadre Commercial,0,37,10,4,3,3,2,3,13,0,0,10,4,Transformation Digitale,Occasionnel,1,8,1,1,1,0,0
44,M,2042,Marié(e),Consulting,Consultant,4,3,2,2,2,3,4,3,12,0,0,23,3,Transformation Digitale,Aucun,1,2,1,14,1,0,1
37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,3,2,3,1,4,3,4,22,1,1,6,4,Ressources Humaines,Occasionnel,0,2,1,4,1,1,0
32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,0,4,1,4,3,3,13,0,0,1,1,Infra & Cloud,Occasionnel,0,0,1,0,1,0,0
20,F,2926,Célibataire,Consulting,Consultant,1,1,0,4,4,2,3,3,18,1,1,6,3,Infra & Cloud,Frequent,1,0,1,0,1,1,0
34,F,4809,Célibataire,Consulting,Assistant de Direction,1,16,13,1,3,3,3,3,14,0,0,6,4,Autre,Occasionnel,2,10,1,0,1,0,0
37,M,5163,Divorcé(e),Consulting,Manager,5,1,0,3,4,4,4,3,14,0,0,2,2,Infra & Cloud,Aucun,0,0,1,16,1,1,1
59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,3,2,3,4,4,3,4,21,0,0,2,4,Ressources Humaines,Aucun,2,2,1,27,1,2,1
50,F,18172,Marié(e),Consulting,Directeur Technique,3,8,3,1,2,1,2,3,19,1,0,1,3,Infra & Cloud,Frequent,0,7,1,20,1,0,0
25,M,5744,Célibataire,Commercial,Cadre Commercial,1,6,4,3,3,4,3,3,11,1,1,5,3,Marketing,Occasionnel,0,3,1,0,1,1,0
25,M,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,4,4,3,3,3,11,0,0,7,1,Transformation Digitale,Occasionnel,2,1,1,0,0,1,1
22,F,2871,Célibataire,Consulting,Consultant,1,0,0,2,4,3,3,3,15,0,0,15,3,Transformation Digitale,Occasionnel,0,0,1,1,0,0,0
51,F,7484,Célibataire,Consulting,Manager,3,13,12,1,1,3,2,4,20,0,0,1,4,Transformation Digitale,Frequent,12,8,1,10,1,2,0
34,M,6074,Célibataire,Consulting,Consultant,1,9,7,1,3,4,3,4,24,1,1,7,3,Infra & Cloud,Frequent,0,6,1,0,1,3,0
54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,5,3,4,4,3,3,3,12,1,0,26,3,Ressources Humaines,Aucun,4,4,1,18,1,-1,0
24,M,2774,Marié(e),Consulting,Consultant,0,5,3,2,3,3,3,3,12,0,0,18,1,Infra & Cloud,Occasionnel,1,2,1,1,1,0,1
34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,1,0,3,2,3,3,3,15,0,0,6,4,Infra & Cloud,Occasionnel,0,0,1,11,1,1,1
37,M,7428,Célibataire,Commercial,Cadre Commercial,2,5,3,3,4,1,3,3,12,0,0,3,3,Infra & Cloud,Occasionnel,1,3,1,7,1,0,0
34,F,11631,Célibataire,Consulting,Senior Manager,2,11,10,3,1,4,3,3,12,0,0,5,3,Transformation Digitale,Occasionnel,5,8,1,3,1,1,0
36,F,9738,Marié(e),Commercial,Cadre Commercial,0,9,7,2,4,3,3,3,14,0,0,11,2,Entrepreunariat,Frequent,2,8,1,1,1,0,1
36,F,2835,Divorcé(e),Consulting,Consultant,5,1,0,1,4,1,3,4,22,0,0,3,2,Infra & Cloud,Occasionnel,0,0,1,6,1,1,1
43,M,16959,Marié(e),Commercial,Senior Manager,1,25,12,3,4,4,4,3,12,1,0,26,2,Infra & Cloud,Frequent,4,12,1,0,1,0,1
30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,7,1,3,3,2,4,25,0,0,23,3,Infra & Cloud,Frequent,0,9,1,0,1,3,1
33,M,6146,Marié(e),Commercial,Cadre Commercial,0,7,7,3,2,1,4,3,13,0,0,22,2,Marketing,Aucun,0,7,1,1,0,0,1
56,F,4963,Marié(e),Consulting,Assistant de Direction,9,5,4,2,2,1,3,3,18,1,1,14,4,Infra & Cloud,Occasionnel,4,3,1,2,1,0,1
51,M,19537,Célibataire,Consulting,Directeur Technique,7,20,18,1,3,3,3,3,13,0,0,6,3,Infra & Cloud,Occasionnel,15,15,1,3,1,0,0
31,M,6172,Marié(e),Commercial,Cadre Commercial,4,7,7,2,3,2,2,3,18,1,1,6,4,Infra & Cloud,Occasionnel,7,7,1,5,0,2,0
26,F,2368,Marié(e),Consulting,Assistant de Direction,1,5,4,3,2,3,2,3,19,0,0,6,3,Autre,Occasionnel,4,3,1,0,1,1,0
58,F,10312,Marié(e),Consulting,Manager,1,40,10,4,4,4,2,3,12,0,1,23,4,Transformation Digitale,Occasionnel,15,6,1,0,1,0,1
19,M,1675,Célibataire,Commercial,Représentant Commercial,1,0,0,4,3,4,2,3,19,1,1,22,1,Marketing,Occasionnel,0,0,1,0,0,0,0
22,M,2523,Marié(e),Consulting,Consultant,0,2,1,3,4,3,3,3,14,0,0,2,1,Entrepreunariat,Occasionnel,2,1,1,1,1,0,1
49,F,6567,Marié(e),Consulting,Tech Lead,1,15,11,3,1,3,2,3,14,0,0,20,4,Transformation Digitale,Occasionnel,5,11,1,1,1,0,0
43,F,4739,Célibataire,Consulting,Assistant de Direction,4,3,2,2,3,4,3,3,12,0,0,28,3,Transformation Digitale,Frequent,1,2,1,15,1,-1,0
50,F,9208,Célibataire,Commercial,Cadre Commercial,4,2,2,3,4,4,3,3,11,0,0,12,3,Marketing,Frequent,2,1,1,14,0,0,0
31,F,4559,Marié(e),Commercial,Cadre Commercial,3,2,2,2,3,3,3,3,11,1,1,20,3,Infra & Cloud,Occasionnel,2,2,1,2,0,2,1
41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,9,7,3,3,3,3,3,13,1,0,9,1,Infra & Cloud,Occasionnel,0,7,1,3,1,0,1
26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,7,3,3,4,3,4,23,0,0,25,1,Infra & Cloud,Occasionnel,5,7,1,0,1,1,1
36,M,4941,Divorcé(e),Consulting,Tech Lead,6,3,2,2,2,4,3,4,20,0,0,6,2,Transformation Digitale,Occasionnel,0,1,0,4,1,1,1
51,M,10650,Célibataire,Consulting,Tech Lead,2,4,2,1,4,4,3,3,15,0,1,8,4,Infra & Cloud,Frequent,0,3,1,14,1,2,0
39,F,5902,Marié(e),Commercial,Cadre Commercial,4,15,11,4,3,3,4,3,14,0,0,4,4,Infra & Cloud,Occasionnel,5,9,1,2,1,1,1
25,M,8639,Marié(e),Commercial,Cadre Commercial,2,2,2,1,3,4,3,3,18,0,0,28,3,Infra & Cloud,Occasionnel,2,2,1,4,0,1,0
30,M,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,11,9,3,4,4,1,3,19,1,0,9,3,Ressources Humaines,Occasionnel,4,7,1,1,1,0,0
32,F,4200,Célibataire,Consulting,Consultant,7,5,4,1,1,1,4,4,22,0,1,9,3,Transformation Digitale,Occasionnel,0,4,1,5,1,1,0
45,M,3452,Célibataire,Consulting,Assistant de Direction,5,6,5,3,4,2,2,3,13,0,0,29,3,Transformation Digitale,Occasionnel,0,3,1,3,1,0,0
38,F,4317,Célibataire,Consulting,Assistant de Direction,3,3,2,4,3,2,3,4,20,1,0,3,5,Entrepreunariat,Occasionnel,2,2,1,16,1,1,0
30,F,2632,Célibataire,Consulting,Assistant de Direction,1,5,4,1,3,3,2,3,14,0,0,18,3,Infra & Cloud,Occasionnel,0,4,1,0,1,0,0
32,M,4668,Divorcé(e),Commercial,Cadre Commercial,0,8,7,4,4,4,4,3,17,0,0,9,2,Transformation Digitale,Frequent,0,7,1,1,1,2,1
30,F,3204,Divorcé(e),Consulting,Assistant de Direction,5,3,2,4,1,4,3,3,14,0,0,5,3,Entrepreunariat,Occasionnel,2,2,1,5,1,0,1
30,M,2720,Célibataire,Consulting,Consultant,0,5,3,2,4,4,3,3,13,0,0,2,1,Transformation Digitale,Occasionnel,1,2,1,1,1,1,0
41,M,17181,Divorcé(e),Consulting,Senior Manager,4,7,6,4,1,2,2,3,13,0,0,10,3,Infra & Cloud,Frequent,7,7,1,14,1,1,1
41,M,2238,Marié(e),Consulting,Consultant,2,5,0,3,1,4,3,4,21,0,0,9,4,Infra & Cloud,Occasionnel,1,4,1,2,1,1,1
19,F,1483,Célibataire,Consulting,Consultant,1,1,0,2,2,4,3,3,14,0,0,3,1,Transformation Digitale,Occasionnel,0,0,1,0,1,0,0
40,F,5605,Divorcé(e),Consulting,Assistant de Direction,1,20,7,2,2,1,3,3,11,0,0,26,3,Transformation Digitale,Frequent,2,13,1,0,1,0,1
35,M,7295,Marié(e),Commercial,Cadre Commercial,1,10,8,3,2,1,3,3,13,0,0,1,5,Marketing,Occasionnel,0,6,1,0,1,0,1
53,M,2306,Marié(e),Commercial,Représentant Commercial,2,7,7,2,3,4,1,4,20,1,0,6,2,Marketing,Occasionnel,4,5,1,6,0,1,1
45,M,2348,Divorcé(e),Consulting,Consultant,8,17,9,2,2,3,1,3,18,0,0,9,3,Infra & Cloud,Occasionnel,0,15,1,3,1,0,1
32,F,8998,Célibataire,Commercial,Cadre Commercial,1,9,8,2,4,4,3,3,14,0,0,8,3,Marketing,Frequent,3,7,1,0,1,0,0
29,M,4319,Marié(e),Consulting,Tech Lead,1,10,7,4,3,1,3,3,13,0,0,1,1,Entrepreunariat,Aucun,0,9,1,0,1,0,1
51,M,6132,Marié(e),Consulting,Tech Lead,2,1,0,2,3,3,3,3,17,0,0,7,4,Transformation Digitale,Occasionnel,0,0,1,9,1,1,0
58,F,3346,Marié(e),Consulting,Assistant de Direction,4,1,0,2,2,2,2,4,20,1,0,9,3,Transformation Digitale,Occasionnel,0,0,1,8,1,2,1
40,M,10855,Marié(e),Commercial,Cadre Commercial,7,12,11,3,4,1,2,3,11,0,0,4,4,Marketing,Occasionnel,2,11,1,3,1,1,1
34,F,2231,Marié(e),Commercial,Représentant Commercial,6,4,3,3,3,4,3,3,18,0,0,2,4,Marketing,Frequent,1,2,1,2,1,0,1
22,M,2323,Marié(e),Consulting,Assistant de Direction,1,2,2,3,4,1,3,4,24,0,0,19,1,Transformation Digitale,Occasionnel,2,2,1,0,0,1,1
27,M,2024,Divorcé(e),Consulting,Assistant de Direction,6,2,2,4,2,4,1,3,18,0,0,9,3,Transformation Digitale,Aucun,2,2,1,4,0,0,1
28,M,2713,Marié(e),Consulting,Assistant de Direction,1,5,2,3,4,3,1,3,11,0,0,21,3,Transformation Digitale,Occasionnel,0,2,1,0,1,0,1
57,M,9439,Divorcé(e),Consulting,Manager,3,5,3,3,4,2,1,3,16,1,0,24,2,Infra & Cloud,Occasionnel,1,4,1,7,1,-1,1
27,M,2566,Divorcé(e),Consulting,Assistant de Direction,1,1,1,3,3,4,2,3,15,1,0,3,3,Transformation Digitale,Aucun,0,1,1,0,0,1,1
50,F,19926,Célibataire,Consulting,Senior Manager,3,5,4,3,2,2,3,3,15,0,0,11,3,Infra & Cloud,Occasionnel,4,4,1,16,1,0,0
